page_title,min_level,redirect_page_title
Information_and_Computer_Science,1,Computer_and_Information_Science
Information_and_Computer_Science,1,Computer_and_Information_Sciences
Computer_science,1,Computer_Sciences_Engineering
Computer_science,1,Computer_science_education
Computer_science,1,Compsci
Computer_science,1,Computer_Science_Engineering
Computer_science,1,Computer_Sceince_Engineering
Computer_science,1,CompSci
Computer_science,1,Computer_science_engineering
Computer_science,1,Comp.sc.
Computer_science,1,Computing_Sciences
Computer_science,1,Computer-science
Computer_science,1,Comp._Sci
Computer_science,1,Diversity_of_computer_science
Computer_science,1,Department_of_Computer_Science
Computer_science,1,Computer_Science_and_Technology
Computer_science,1,Datalogy
Computer_science,1,Comsci
Computer_science,1,Computing_Science
Computer_science,1,Computer_sciences
Computer_science,1,Department_of_computer_science
Computer_science,1,Computer_Science
Computer_science,1,Computer_science/Archive_3
Computer_science,1,Alternative_definitions_of_computer_science
Computer_science,1,Computer_scientists
Computer_science,1,Comp_Sci
Computer_science,1,Computing_science
Computer_science,1,Com_sci
Computer_science,1,Systems_and_Computing_Engineering
Computer_science,1,Computer_Studies
Computer_science,1,List_of_computer_science_fields
Social_cloud_computing,1,
Instance_selection,1,
Symbolic_execution,1,Symbolic_evaluation
Critical_code_studies,1,
Software,1,Computer_software
Software,1,Networked
Software,1,Out_of_date_software
Software,1,ComputerSoftware
Software,1,Software_Technology
Software,1,Soft-ware
Software,1,Software_product
Software,1,Scientific_software_(non_free)
Software,1,Networked_software
Software,1,Problems_of_unmaintained_software
Software,1,Old_software
Software,1,Soft_ware
Software,1,SOFTWARE
Software,1,Scientific_software
Software,1,Editing_software
Software,1,Software.
Software,1,Software_&_programming
Software,1,Software_and_Programming
Software,1,Software_&_Programming
Software,1,Computer_Software
Software,1,Problems_with_old_software
Software,1,The_software
Software,1,Softography
Software,1,Software_technology
Software,1,Outdated_software
Software,1,Softwares
Software,1,Scientific_software_(free)
Software,1,Scientific_Software
Sanghamitra_Mohanty,1,
Library_and_information_science,1,Library_and_Information_Studies
Library_and_information_science,1,Library_and_information_studies
Library_and_information_science,1,Biblioteconomy
Library_and_information_science,1,Library_and_Information_Science
Library_and_information_science,1,Library_and_information_sciences
Library_and_information_science,1,Bibliotheconomy
Organizational_information_theory,1,Opheliajw/sandbox
Paperless_society,1,
Frederick_Wilfrid_Lancaster,1,Wilfrid_Lancaster
Frederick_Wilfrid_Lancaster,1,Wilf_Lancaster
Frederick_Wilfrid_Lancaster,1,F._Wilfrid_Lancaster
Bibliometrician,1,Bibliometrican
Basic_Formal_Ontology,1,
GOLD_(ontology),1,
Precision_and_recall,1,Precision_(information_retrieval)
Precision_and_recall,1,Recall_and_precision
Precision_and_recall,1,Precision_recall
Precision_and_recall,1,Recall_(information_retrieval)
Precision_and_recall,1,Precision_and_Recall
Memex,1,MEMEX
Memex,1,DARPA's_Memex_program
International_Conference_on_Digital_Audio_Effects,1,
Metabibliography,1,Biblio-bibliography
Metabibliography,1,Bibliography_of_bibliographies
Data_Science_Africa,1,
Webometrics,1,Cybermetrics
Webometrics,1,Web_Impact_Factor
Webometrics,1,Web_impact_factor
Description_logic,1,Concept_assertion
Description_logic,1,Description_Logics
Description_logic,1,SHOIN
Description_logic,1,Description_Logic
Description_logic,1,Description_logics
Allen_Kent,1,Allen_Kent
Information:_The_New_Language_of_Science,1,Information_(book)
EJB_QL,1,
Corey_Schou,1,Corey_schou
Annual_Review_of_Information_Science_and_Technology,1,ARIST
Mathematical_knowledge_management,1,Mathematical_Knowledge_Management
"Czech_Institute_of_Informatics,_Robotics_and_Cybernetics",1,
Controlled_vocabulary,1,Controlled_vocabularies
Controlled_vocabulary,1,Terminological_control
DPVweb,1,
Selective_dissemination_of_information,1,Selective_Dissemination_of_Information
Selective_dissemination_of_information,1,Selective_dissemination_of_information_system
Informatics_Corporation_of_America,1,Jstroh2/Informatics_Corporation_of_America
Scottish_Informatics_and_Computer_Science_Alliance,1,Iansommerville/Scottish_Informatics_and_Computer_Science_Alliance
Schema.org,1,
Overcategorization,1,Category_clutter
Overcategorization,1,Overcategorisation
Human-centered_computing,1,Human_centered_computing
Human-centered_computing,1,Human-centred_computing
Human-centered_computing,1,Human-Centered_Computing
Human-centered_computing,1,Human-centered_computing_(discipline)
Alan_Turing_Institute,1,Alan_Turing_Insitute
Alan_Turing_Institute,1,The_Alan_Turing_Institute
Alan_Turing_Institute,1,The_Alan_Turing_Insitute
Data_drilling,1,Drill-down
Ontology_(information_science),1,Ontological_distinction(computer_science)
Ontology_(information_science),1,New_media_relations
Ontology_(information_science),1,Ontology_Editors_(computer_science)
Ontology_(information_science),1,Ontology_editor_(computer_science)
Ontology_(information_science),1,Ontology_editor
Ontology_(information_science),1,Computational_ontology
Ontology_(information_science),1,Ontology_Libraries_(computer_science)
Ontology_(information_science),1,Ontological_distinction_(computer_science)
Ontology_(information_science),1,History_of_ontologies
Ontology_(information_science),1,Ontology_media
Ontology_(information_science),1,Strong_ontology
Ontology_(information_science),1,Ontology_library_(computer_science)
Ontology_(information_science),1,Populated_ontology
Ontology_(information_science),1,Ontology_(computer_science)
Ontology_(information_science),1,Knowledge_graph
Ontology_(information_science),1,Ontology_library_(information_science)
Ontology_(information_science),1,Ontologies_(computer_science)
Ontology_(information_science),1,Ontologing
Ontology_(information_science),1,Domain_ontology
Ontology_(information_science),1,Ontology_Language
Semantometrics,1,
Exploratory_search,1,Exploratory_Search_Systems
Information_pollution,1,Infollution
Ontology_engineering,1,Ontology_Engineering
Ontology_engineering,1,Ontology_building
Ontology_engineering,1,Ontological_engineering
Sensemaking,1,Sense-making
Sensemaking,1,Collective_sensemaking
Conceptions_of_Library_and_Information_Science,1,CoLIS
